id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
997,"45.21446,5.78961",Nord-Est,Meylan,,25 Rue de Chenevière / Impasse du Tramier (dans logette),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2009-11-25,,,5.78961,45.214461
1035,"45.21677,5.79024",Nord-Est,Meylan,,Chemin de Maupertuis / Chemin de l'Hermitage,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Usé,Citec_Cyclea_2.5_A_c,,15 mars 2010,,,5.790237,45.216768
1337,"45.21235,5.79234",Nord-Est,Meylan,,21/23 Allée des Frênes / Appart'City,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,,,,2019-11-18,Nouveau site de collecte,,5.7923441338412,45.212354333794
1006,"45.21719,5.80066",Nord-Est,Meylan,,Avenue des Quatre Chemins / Cimetière du Gamond (sur parking),,VER,verre,CA,aérien,4.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_4_A_c,,2009-11-25,,,5.800662,45.217192
992,"45.21127,5.78647",Nord-Est,Meylan,,Chemin de Bérivière (Place des Tuileaux côté logette),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2008,,,5.786472,45.211268
994,"45.21404,5.78583",Nord-Est,Meylan,,Chemin de Bérivière / Allée de la Roselière (à côté logette),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2009-11-25,,,5.78583,45.214035
995,"45.21278,5.7866",Nord-Est,Meylan,,Chemin de Bérivière / Rue Père Cohard (côté n°3),,VER,verre,CA,aérien,3.0,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_3_A_c,,2009-11-25,,,5.786602,45.212782
990,"45.20778,5.78501",Nord-Est,Meylan,,Chemin des Prèles / Chemin des Sétérées du Dessous (dans logette à côté hôtel Kyriad),,VER,verre,CA,aérien,1.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_1.5_A_c,,2009-11-25,,,5.785008,45.207776
1331,"45.20889,5.78458",Nord-Est,Meylan,,10 Chemin des Prêles,,VER,verre,CA,aérien,3.0,Citec,Cyclea,"Citec 3m3 Crochet, puce E7390482000028BE; gps ",,Prestataire,Lely,,,,2019-09-06,Nouveau site de collecte,,5.7845776628906,45.208887777055
1332,"45.21063,5.78903",Nord-Est,Meylan,,6 Chemin des Prés,,VER,verre,CA,aérien,3.0,Citec,Cyclea,"Citec 3m3 Crochet, puce ED300482000028C5, gps",,Prestataire,Lely,,,,2019-09-06,Nouveau site de collecte,,5.7890285934098,45.210633274279
